Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Khris Middleton,SGSF,MIL,14,20.6,0.096,-0.501,0.055,-0.835,0.459,0.854,1.071,0.215,0.33,0.194,NA
Tyler Johnson,PGSG,MIA,82,0,-0.088,0.19,0.181,0.673,-0.053,1.085,-0.04,-0.212,-0.2,0.171,NA
J.R. Smith,SGSF,FA,78,29.9,0.318,-0.117,-0.383,0.171,0.459,-0.384,-1.565,1.782,0.462,0.083,NA
Shaun Livingston,PGSG,GSW,82,0,-0.882,-0.578,0.181,0.171,-0.564,2.756,0.686,-1.637,0.594,0.081,NA
Josh Richardson,SGSF,MIA,82,0,-0.088,-0.271,-0.132,1.679,-0.053,0.077,-1.607,0.785,0.33,0.08,NA
Allen Crabbe,PGSG,POR,81,27,-0.218,-0.347,-0.821,-0.332,-0.053,0.566,0.943,0.215,0.727,0.076,NA
Tony Allen,SGSF,MEM,82,0,-0.384,1.187,-0.759,0.673,2.25,0.941,-2.134,-1.352,0.197,0.069,NA
Zach LaVine,PGSG,MIN,81,29.7,0.558,-0.271,0.556,-0.332,-0.308,0.624,0.116,0.215,-0.597,0.062,NA
Wilson Chandler,SGSF,DEN,72,0,-0.144,1.187,-0.696,0.171,-0.82,0.077,-0.112,0.072,0.462,0.022,NA
Jared Dudley,SGSF,PHO,82,0,-0.476,0.19,-0.32,-0.332,0.203,1.027,-0.838,0.215,0.462,0.015,NA
Manu Ginobili,SGSF,SAS,75,19.3,-0.365,-0.578,0.431,-0.332,0.203,0.509,0.202,-0.212,-0.067,-0.023,NA
Andre Iguodala,SGSF,GSW,75,24.8,-0.716,0.727,0.431,0.171,0.459,1.258,-2.704,-0.497,0.462,-0.046,NA
Jamal Murray,SG,DEN,76,19.3,0.078,-0.271,0.118,-0.332,-0.308,-0.096,-0.083,0.357,0.065,-0.052,NA
Wesley Johnson,SGSF,LAC,81,21.1,-0.698,-0.04,-1.009,1.679,0.459,-0.644,-1.151,0.072,0.859,-0.052,NA
Arron Afflalo,SGSF,SAC,75,27.5,0.262,0.343,-0.258,-0.835,-0.82,0.192,0.359,0.072,0.197,-0.054,NA
Jamal Crawford,SGSF,LAC,79,26.8,0.336,-1.115,-0.195,-0.332,-0.308,-0.96,1.384,0.5,0.197,-0.055,NA
P.J. Tucker,SGSF,PHO,76,0,-0.661,1.494,-0.446,-0.332,0.715,-0.413,-0.753,-0.497,0.33,-0.062,NA
Jerryd Bayless,PGSG,PHI,73,22.2,-0.107,-0.424,0.869,-0.332,-0.053,-0.672,-0.126,0.642,-0.464,-0.074,NA
Matt Barnes,SGSF,SAC,80,24.5,-0.679,0.42,-0.571,1.176,-0.308,-1.047,-0.169,-0.07,0.462,-0.087,NA
Gerald Henderson,SGSF,PHI,78,26.7,0.115,0.113,-0.258,0.171,-0.308,0.048,-0.282,-0.497,0.065,-0.093,NA
Andre Roberson,SGSF,OKC,82,0,-0.974,0.727,-0.946,2.182,-0.053,1.546,-3.473,-0.925,0.992,-0.103,NA
Jarrett Jack,PGSG,ATL,78,23.6,-0.254,-0.424,1.308,-0.835,-0.308,-0.211,1.142,-0.64,-0.729,-0.106,NA
Bojan Bogdanovic,SGSF,BKN,80,28.3,0.207,0.19,-0.633,-0.835,-1.076,-0.067,0.601,0.785,-0.332,-0.129,NA
Matthew Dellavedova,PGSG,MIL,82,0,-0.458,-0.654,1.996,-0.835,-0.308,-1.162,0.529,0.215,-0.597,-0.141,NA
C.J. Miles,SGSF,IND,74,24.7,-0.199,-0.501,-1.009,0.171,-0.308,-0.932,-0.055,0.785,0.727,-0.147,NA
Iman Shumpert,SGSF,CLE,82,0,-0.827,0.497,-0.446,0.673,0.459,-1.162,-0.624,-0.355,0.462,-0.147,NA
Terrence Ross,SGSF,TOR,80,24.9,-0.439,-0.654,-1.009,0.171,-0.564,-0.384,-0.026,0.5,0.992,-0.157,NA
Solomon Hill,SGSF,NOR,82,0,-0.882,0.113,-0.633,-0.332,-0.308,0.077,0.729,-0.782,0.594,-0.158,NA
Stanley Johnson,SGSF,DET,82,0,-0.273,1.111,-0.32,-0.332,0.203,-1.479,0.302,-0.212,-0.464,-0.163,NA
Jeff Green,SGSF,ORL,81,24.8,-0.236,-0.04,-0.696,0.673,-0.564,-0.183,-0.881,-0.497,0.594,-0.203,NA
Mario Hezonja,SG,ORL,80,18.2,-0.771,-0.654,-0.571,-0.332,-0.82,0.019,1.47,-0.355,0.065,-0.217,NA
Thabo Sefolosha,SGSF,ATL,82,0,-1.085,0.266,-0.821,0.673,-0.053,1.459,-2.377,-0.925,0.859,-0.222,NA
Joe Johnson,SGSF,UTH,72,32.4,-0.273,-0.578,0.055,-0.835,-0.564,0.278,0.002,-0.07,-0.067,-0.228,NA
Jeremy Lamb,SGSF,CHA,82,0,-0.698,-0.194,-0.946,0.171,-0.82,0.336,-0.354,-0.64,0.992,-0.239,NA
Shabazz Muhammad,SGSF,MIN,82,0,0.078,0.19,-1.072,-0.835,-1.332,1.315,-0.525,-0.925,0.727,-0.264,NA
Lou Williams,PGSG,LAL,77,26.3,0.17,-1.038,-0.383,-0.835,-0.308,-0.845,0.572,0.072,0.197,-0.266,NA
J.J. Barea,PGSG,DAL,82,0,-0.218,-0.808,0.869,-1.338,-1.076,0.249,-0.24,-0.07,0.065,-0.285,NA
Mike Dunleavy,SGSF,CLE,82,0,-0.937,-0.731,-0.884,-0.332,-1.076,0.134,0.045,-0.07,1.124,-0.303,NA
Alonzo Gee,SGSF,NOR,82,0,-1.584,-1.115,-1.197,-0.835,-1.076,2.352,0.572,-1.494,1.256,-0.347,NA
Caris LeVert,SG,BKN,72,0,-0.55,0.036,-0.571,-0.332,-0.564,-0.355,-0.525,-0.497,0.197,-0.351,NA
Norman Powell,SG,TOR,82,0,-1.03,-0.731,-0.946,-0.332,-0.564,-0.211,0.373,-0.782,0.992,-0.359,NA
Sean Kilpatrick,SG,BKN,82,0,-0.439,-1.268,-1.072,-1.338,-1.332,0.249,1.527,-0.355,0.727,-0.367,NA
Corey Brewer,SGSF,HOU,82,0,-0.716,-0.424,-0.759,-0.332,0.203,-0.96,-0.354,-0.782,0.594,-0.392,NA
Langston Galloway,PGSG,NOR,82,0,-0.901,-0.501,-0.383,-0.332,-0.308,-0.788,-0.696,-0.64,0.992,-0.395,NA
Vince Carter,SGSF,MEM,82,0,-0.827,-0.654,-0.946,-0.332,-0.82,-1.335,0.401,-0.212,1.124,-0.4,NA
Lance Thomas,SGSF,NYK,82,0,-0.624,-0.501,-0.946,-0.835,-1.076,0.192,0.487,-0.925,0.594,-0.404,NA
Alec Burks,PGSG,UTH,62,26.9,-0.107,-0.271,-0.446,-0.835,-0.82,-0.557,-0.396,-0.64,0.33,-0.416,NA
Gerald Green,SGSF,BOS,82,0,-0.642,-0.961,-1.009,-0.332,-1.076,-1.335,0.287,-0.07,0.992,-0.461,NA
Rashad Vaughn,SG,MIL,82,0,-1.03,-0.961,-0.946,0.171,-0.564,-3.38,1.74,-0.212,0.992,-0.466,NA
Rodney Stuckey,PGSG,IND,82,0,-0.882,-0.808,-0.508,-0.835,-0.82,-0.327,0.529,-1.352,0.727,-0.475,NA
Reggie Bullock,SGSF,DET,82,0,-1.713,-1.728,-1.322,-1.338,-1.843,0.422,2.794,-1.21,1.653,-0.476,NA
Tim Hardaway Jr.,SGSF,ATL,82,0,-0.827,-1.268,-0.884,-0.835,-1.332,-0.528,0.586,-0.355,1.124,-0.48,NA
Dion Waiters,SGSF,MIA,78,17.7,-0.458,-0.654,-0.508,-0.332,-0.053,-0.989,-1.18,-0.497,0.33,-0.482,NA
Lance Stephenson,SGSF,NOR,73,19.5,-0.587,-0.271,-0.258,-0.835,-1.076,0.653,-1.009,-1.21,0.065,-0.503,NA
James Michael McAdoo,SG,GSW,82,0,-1.436,-1.268,-1.259,-0.332,-1.587,2.439,-0.81,-1.637,1.256,-0.515,NA
Anthony Morrow,SGSF,OKC,82,0,-0.901,-1.498,-1.259,-0.835,-1.332,-0.384,-0.069,0.072,1.389,-0.535,NA
Austin Rivers,PGSG,LAC,75,22.3,-0.55,-0.961,-0.633,-0.835,-0.564,-0.154,-1.807,-0.497,0.727,-0.586,NA
Pablo Prigioni,PGSG,HOU,82,0,-1.51,-1.115,-0.383,-1.338,-0.053,-1.681,0.943,-0.925,0.727,-0.593,NA
Ben McLemore,SG,SAC,82,0,-0.882,-1.038,-0.946,-0.835,-0.564,-0.269,-0.824,-0.497,0.462,-0.599,NA
Ramon Sessions,PGSG,CHA,82,0,-0.919,-1.191,-0.446,-1.338,-1.332,0.307,-0.183,-1.21,0.727,-0.62,NA
Marco Belinelli,SGSF,CHA,82,0,-0.827,-1.498,-0.884,-1.338,-1.332,-1.392,1.014,-0.355,0.992,-0.624,NA
James Ennis,SGSF,MEM,82,0,-1.177,-0.808,-1.134,0.171,-0.564,-1.681,-1.009,-0.925,1.124,-0.667,NA
Randy Foye,PGSG,BKN,82,0,-1.177,-1.345,-0.633,0.171,-1.332,-2.429,0.586,-0.64,0.727,-0.675,NA
Jerian Grant,PGSG,CHI,82,0,-1.196,-1.345,-0.383,-0.835,-0.82,-0.903,-0.411,-1.352,0.594,-0.739,NA
Greivis Vasquez,PGSG,BKN,72,0,-0.937,-0.961,0.681,-1.338,-1.332,-2.429,0.245,-0.497,-0.2,-0.752,NA
Nik Stauskas,SG,PHI,82,0,-1.325,-1.652,-1.009,-0.835,-1.587,-1.565,-0.083,-0.64,1.124,-0.841,NA
Kyle Singler,SGSF,OKC,82,0,-1.344,-0.884,-1.197,-0.835,-1.076,-1.364,-2.134,-0.925,1.124,-0.959,NA
Brandon Rush,SGSF,MIN,82,0,-1.565,-1.268,-1.259,-0.332,-1.587,-1.047,-3.16,-1.067,1.389,-1.1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
